# Temperaturmessung 10/2008
# Zeit	  T_Diode	R_NTC	     T_U	
# (min)	  (°C)		(OHM)	     (C)	
   0       19.30       41735.0       21.09
   5       32.79       22142.0       22.63
  10       43.23       13503.0       23.85
  15       51.51        9283.7       24.87
  20       58.15        6987.9       26.07
  25       63.50        5601.8       27.27
  30       67.77        4731.9       27.76
  35       71.17        4153.4       28.86
  40       73.92        3739.1       29.59
  45       76.20        3440.0       30.07
  50       77.89        3225.0       29.74
  55       79.13        3078.9       30.62
  60       66.86        4641.2       29.38
  65       58.31        6513.3       28.59
  70       51.43        8679.4       27.55
  75       46.22       10972.0       27.18
  80       41.99       13288.0       26.57
  85       38.60       15588.0       25.96
  90       35.86       17799.0       25.55
  95       33.60       19817.0       25.44
 100       31.77       21742.0       25.07
 105       30.26       23438.0       24.73
 110       28.99       25001.7       24.62
